Country,Year,Value
Austria,2020,54.557
Austria,2010,20332.843
Austria,2011,19103.229
Austria,2012,21513.655
Austria,2013,25172.809
Austria,2014,23275.652
Austria,2015,22393.266
Austria,2016,21980.464
Austria,2017,26771.706
Austria,2018,24533.103
Austria,2019,27293.725
Austria,2020,30634.5
Austria,2010,413.78
Austria,2011,-0.077
Austria,2012,798.011
Austria,2014,1732.725
Austria,2015,992.626
Austria,2016,0
Austria,2017,0
Austria,2018,0
Austria,2019,0
Austria,2020,0
Austria,2010,66.774
Austria,2011,63.471
Austria,2012,747.628
Austria,2013,802.436
Austria,2014,698.121
Austria,2015,751.893
Austria,2016,793.748
Austria,2017,992.322
Austria,2018,1120.597
Austria,2019,57.855
Austria,2020,66.656
Austria,2010,4.169
Austria,2011,4.412
Austria,2010,431.669
Austria,2011,284.32
Austria,2012,6916.448
Austria,2013,6346.618
Austria,2015,6841.967
Austria,2016,6458.216
Austria,2017,8037.351
Austria,2018,7394.889
Austria,2019,71.162
Austria,2020,63.899
Austria,2010,509.46
Austria,2011,322.833
Austria,2012,11239.846
Austria,2013,10554.532
Austria,2014,11121.043
Austria,2015,10401.008
Austria,2016,10049.742
Austria,2017,11875.37
Austria,2018,11145.656
Austria,2019,117.38
Austria,2020,139.044
Austria,2010,559.196
Austria,2011,853.301
Austria,2012,1987.012
Austria,2013,2802.237
Austria,2014,1942.886
Austria,2015,2015.814
Austria,2016,1965.7
Austria,2017,1887.357
Austria,2018,1888.861
Austria,2019,545.088
Austria,2020,619.665
Austria,2010,4.169
Austria,2011,4.412
Austria,2019,461.423
Austria,2020,745.246
Austria,2010,1131.226
Austria,2011,1380.015
Austria,2019,6.576
Austria,2020,0.821
Austria,2010,9438.81
Austria,2011,9608.305
Austria,2019,9551.423
Austria,2020,9546.733
Austria,2010,6362.061
Austria,2011,4936.719
Austria,2019,6708.943
Austria,2020,8919.539
Austria,2010,979.04
Austria,2011,909.828
Austria,2019,8338.681
Austria,2020,8592.164
Belgium,2010,9596.116
Belgium,2011,10758.095
Belgium,2012,12308.44
Belgium,2013,14060.935
Belgium,2014,16489.092
Belgium,2015,17207.422
Belgium,2016,20767.216
Belgium,2017,24913.317
Belgium,2018,22054.035
Belgium,2019,30240.131
Belgium,2020,33014.645
Belgium,2010,614.89
Belgium,2011,856.117
Belgium,2012,955.298
Belgium,2013,925.778
Belgium,2014,812.51
Belgium,2015,879.052
Belgium,2016,1238.133
Belgium,2017,1281.323
Belgium,2018,1351.774
Belgium,2019,1645.754
Belgium,2020,1770.635
Belgium,2010,109.461
Belgium,2011,122.192
Belgium,2012,128.333
Belgium,2013,160.482
Belgium,2014,207.315
Belgium,2015,255.31
Belgium,2016,216.554
Belgium,2017,258.08
Belgium,2018,215.306
Belgium,2019,237.37
Belgium,2020,240.644
Belgium,2010,13308.468
Belgium,2011,15630.912
Belgium,2012,17244.946
Belgium,2013,19732.369
Belgium,2014,22700.664
Belgium,2015,24191.491
Belgium,2016,29041.109
Belgium,2017,34085.55
Belgium,2018,30753.359
Belgium,2019,40391.805
Belgium,2020,43044.43
Belgium,2010,393.39
Belgium,2011,638.129
Belgium,2012,559.47
Belgium,2013,607.149
Belgium,2014,461.067
Belgium,2015,311.537
Belgium,2016,181.775
Belgium,2017,244.76
Belgium,2018,364.322
Belgium,2019,383.842
Belgium,2020,432.075
Belgium,2010,96.879
Belgium,2011,168.063
Belgium,2012,144.935
Belgium,2013,202.313
Belgium,2014,139.388
Belgium,2015,154.488
Belgium,2016,138.316
Belgium,2017,145.707
Belgium,2018,156.575
Belgium,2019,158.875
Belgium,2020,152.518
Belgium,2010,740.194
Belgium,2011,1160.193
Belgium,2012,1008.906
Belgium,2013,1273.468
Belgium,2014,1603.316
Belgium,2015,1708.832
Belgium,2016,2339.611
Belgium,2017,2488.512
Belgium,2018,2548.004
Belgium,2019,2751.406
Belgium,2020,2771.449
Belgium,2010,1355.084
Belgium,2011,2016.309
Belgium,2012,1964.205
Belgium,2013,2199.246
Belgium,2014,2415.825
Belgium,2015,2587.884
Belgium,2016,3577.744
Belgium,2017,3769.834
Belgium,2018,3899.778
Belgium,2019,4397.16
Belgium,2020,4542.085
Belgium,2010,395.909
Belgium,2011,413.561
Belgium,2012,522.596
Belgium,2013,517.384
Belgium,2014,625.74
Belgium,2015,730.67
Belgium,2016,934.085
Belgium,2017,1086.061
Belgium,2018,768.117
Belgium,2019,876.507
Belgium,2020,813.01
Belgium,2010,191.969
Belgium,2011,208.656
Belgium,2012,205.074
Belgium,2013,313.232
Belgium,2014,422.205
Belgium,2015,547.077
Belgium,2016,440.688
Belgium,2017,490.835
Belgium,2018,533.435
Belgium,2019,514.8
Belgium,2020,675.284
Belgium,2010,473.356
Belgium,2011,396.2
Belgium,2012,317.351
Belgium,2013,248.783
Belgium,2014,263.505
Belgium,2015,374.093
Belgium,2016,493.812
Belgium,2017,871.765
Belgium,2018,779.879
Belgium,2019,538.42
Belgium,2020,503.032
Belgium,2010,4342.925
Belgium,2011,5169.304
Belgium,2012,5959.22
Belgium,2013,6089.281
Belgium,2014,7788.338
Belgium,2015,8008.86
Belgium,2016,9434.829
Belgium,2017,11642.954
Belgium,2018,10131.174
Belgium,2019,15658.186
Belgium,2020,17344.372
Belgium,2010,3843.841
Belgium,2011,4126.946
Belgium,2012,5013.878
Belgium,2013,6025.753
Belgium,2014,7799.684
Belgium,2015,7807.628
Belgium,2016,9745.932
Belgium,2017,11061.866
Belgium,2018,10594.879
Belgium,2019,13479.856
Belgium,2020,14527.505
Belgium,2010,935.994
Belgium,2011,822.145
Belgium,2012,1058.076
Belgium,2013,1307.551
Belgium,2014,524.075
Belgium,2015,790.577
Belgium,2016,876.264
Belgium,2017,1130.619
Belgium,2018,278.713
Belgium,2019,365.641
Belgium,2020,429.767
Belgium,2010,12822.331
Belgium,2011,13919.898
Belgium,2012,16239.756
Belgium,2013,19391.436
Belgium,2014,20019.407
Belgium,2015,18733.72
Belgium,2016,21890.722
Belgium,2017,29878.541
Belgium,2018,25251.87
Belgium,2019,33971.763
Belgium,2020,40512.271
Belgium,2010,821.616
Belgium,2011,1107.729
Belgium,2012,1260.421
Belgium,2013,1276.74
Belgium,2014,986.468
Belgium,2015,957.024
Belgium,2016,1305.116
Belgium,2017,1536.69
Belgium,2018,1547.781
Belgium,2019,1848.84
Belgium,2020,2172.747
Belgium,2010,146.262
Belgium,2011,158.104
Belgium,2012,169.323
Belgium,2013,221.321
Belgium,2014,251.701
Belgium,2015,277.956
Belgium,2016,228.27
Belgium,2017,309.516
Belgium,2018,246.526
Belgium,2019,266.662
Belgium,2020,295.294
Belgium,2010,17782.775
Belgium,2011,20224.837
Belgium,2012,22752.982
Belgium,2013,27212.909
Belgium,2014,27560.876
Belgium,2015,26337.277
Belgium,2016,30612.233
Belgium,2017,40878.801
Belgium,2018,35212.596
Belgium,2019,45376.154
Belgium,2020,52819.82
Belgium,2010,525.648
Belgium,2011,825.675
Belgium,2012,738.165
Belgium,2013,837.319
Belgium,2014,559.782
Belgium,2015,339.17
Belgium,2016,191.609
Belgium,2017,293.541
Belgium,2018,417.148
Belgium,2019,431.208
Belgium,2020,530.199
Belgium,2010,129.449
Belgium,2011,217.457
Belgium,2012,191.227
Belgium,2013,279.01
Belgium,2014,169.231
Belgium,2015,168.191
Belgium,2016,145.799
Belgium,2017,174.747
Belgium,2018,179.278
Belgium,2019,178.48
Belgium,2020,187.155
Belgium,2010,989.047
Belgium,2011,1501.173
Belgium,2012,1331.151
Belgium,2013,1756.239
Belgium,2014,1946.586
Belgium,2015,1860.406
Belgium,2016,2466.184
Belgium,2017,2984.472
Belgium,2018,2917.465
Belgium,2019,3090.929
Belgium,2020,3400.846
Belgium,2010,1810.663
Belgium,2011,2608.903
Belgium,2012,2591.572
Belgium,2013,3032.979
Belgium,2014,2933.053
Belgium,2015,2817.43
Belgium,2016,3771.3
Belgium,2017,4521.162
Belgium,2018,4465.246
Belgium,2019,4939.769
Belgium,2020,5573.592
Belgium,2010,529.014
Belgium,2011,535.107
Belgium,2012,689.513
Belgium,2013,713.524
Belgium,2014,759.711
Belgium,2015,795.48
Belgium,2016,984.619
Belgium,2017,1302.513
Belgium,2018,879.494
Belgium,2019,984.668
Belgium,2020,997.645
Belgium,2010,256.509
Belgium,2011,269.98
Belgium,2012,270.575
Belgium,2013,431.978
Belgium,2014,512.599
Belgium,2015,595.603
Belgium,2016,464.529
Belgium,2017,588.658
Belgium,2018,610.784
Belgium,2019,578.327
Belgium,2020,828.641
Belgium,2010,632.498
Belgium,2011,512.643
Belgium,2012,418.714
Belgium,2013,343.097
Belgium,2014,319.922
Belgium,2015,407.275
Belgium,2016,520.527
Belgium,2017,1045.508
Belgium,2018,892.962
Belgium,2019,604.861
Belgium,2020,617.27
Belgium,2010,5803.016
Belgium,2011,6688.562
Belgium,2012,7862.595
Belgium,2013,8397.728
Belgium,2014,9455.821
Belgium,2015,8719.246
Belgium,2016,9945.253
Belgium,2017,13963.395
Belgium,2018,11600.194
Belgium,2019,17590.406
Belgium,2020,21283.279
Belgium,2010,5136.141
Belgium,2011,5339.855
Belgium,2012,6615.311
Belgium,2013,8310.116
Belgium,2014,9469.596
Belgium,2015,8500.165
Belgium,2016,10273.187
Belgium,2017,13266.496
Belgium,2018,12131.137
Belgium,2019,15143.27
Belgium,2020,17826.701
Belgium,2010,1250.676
Belgium,2011,1063.773
Belgium,2012,1396.025
Belgium,2013,1803.244
Belgium,2014,636.279
Belgium,2015,860.701
Belgium,2016,923.67
Belgium,2017,1355.952
Belgium,2018,319.126
Belgium,2019,410.761
Belgium,2020,527.367
Canada,2010,352310.72
Canada,2011,375996.19
Canada,2012,412914.65
Canada,2013,477140.31
Canada,2014,541443
Canada,2015,636450
Canada,2016,654696
Canada,2017,699163
Canada,2018,707476
Canada,2019,796100
Canada,2020,860111
Canada,2010,52621.535
Canada,2011,54600.418
Canada,2012,97061.26
Canada,2013,94178.46
Canada,2014,77094
Canada,2015,86350
Canada,2016,86651.9
Canada,2010,3306.1
Canada,2011,3201.24
Canada,2012,3235.19
Canada,2013,2861.94
Canada,2014,2283
Canada,2015,3535
Canada,2016,6736
Canada,2017,8537
Canada,2018,10260
Canada,2019,5261
Canada,2020,5590
Canada,2010,1048446.32
Canada,2011,1094568.8
Canada,2012,1193445.15
Canada,2013,1340806.6
Canada,2014,1505239
Canada,2015,1654843
Canada,2016,1731226
Canada,2017,1843976
Canada,2018,1872667
Canada,2019,2085526
Canada,2020,2223401
Canada,2010,58949.43
Canada,2011,52702.32
Canada,2012,55813.23
Canada,2013,69135.7
Canada,2014,79054
Canada,2015,87369
Canada,2016,100836
Canada,2017,91099
Canada,2018,95642
Canada,2019,107407
Canada,2020,132120
Canada,2010,57280.91
Canada,2011,56747.05
Canada,2012,66113.51
Canada,2013,75632.18
Canada,2014,88831
Canada,2015,104056
Canada,2016,109921
Canada,2017,128407
Canada,2018,148132
Canada,2019,193673
Canada,2020,210196
Canada,2010,214492.855
Canada,2011,255629.232
Canada,2012,231959.96
Canada,2013,242173.18
Canada,2014,317006
Canada,2015,314568
Canada,2016,315675.1
Canada,2010,267114.39
Canada,2011,310229.65
Canada,2012,329021.22
Canada,2013,336351.64
Canada,2014,394100
Canada,2015,400918
Canada,2016,402327
Canada,2017,401921
Canada,2018,411478
Canada,2019,460155
Canada,2020,453741
Canada,2010,27594.99
Canada,2011,28574.62
Canada,2012,32517.72
Canada,2013,39440.77
Canada,2014,45012
Canada,2015,53412
Canada,2016,63677
Canada,2017,67018
Canada,2018,64716
Canada,2019,62082
Canada,2020,78551
Canada,2010,7502.69
Canada,2011,8270.13
Canada,2012,8983.68
Canada,2013,8147.99
Canada,2014,12663
Canada,2015,14044
Canada,2016,12919
Canada,2017,12000
Canada,2018,10050
Canada,2019,20305
Canada,2020,21872
Canada,2010,105229.96
Canada,2011,114603.03
Canada,2012,114273.58
Canada,2013,128201.92
Canada,2014,142274
Canada,2015,175099
Canada,2016,179986
Canada,2017,183282
Canada,2018,182428
Canada,2019,201314
Canada,2020,218598
Canada,2010,72801.46
Canada,2011,71368.03
Canada,2012,79100.98
Canada,2013,85308.32
Canada,2014,98578
Canada,2015,99277
Canada,2016,107438
Canada,2017,114552
Canada,2018,101598
Canada,2019,115169
Canada,2020,120018
Canada,2010,166776.61
Canada,2011,155207.37
Canada,2012,180883.73
Canada,2013,221599.3
Canada,2014,251580
Canada,2015,306144
Canada,2016,308987
Canada,2017,341417
Canada,2018,359927
Canada,2019,405854
Canada,2020,446548
Canada,2010,354223.527
Canada,2011,369711.101
Canada,2012,415031.31
Canada,2013,448608.791
Canada,2014,466720.972
Canada,2015,459862.717
Canada,2016,487596.634
Canada,2017,557324.033
Canada,2018,518639.396
Canada,2019,609617.888
Canada,2020,669034.692
Canada,2010,52907.234
Canada,2011,53687.727
Canada,2012,97558.81
Canada,2013,88546.879
Canada,2014,66454.616
Canada,2015,62391.618
Canada,2016,64535.563
Canada,2010,3324.05
Canada,2011,3147.729
Canada,2012,3251.774
Canada,2013,2690.805
Canada,2014,1967.934
Canada,2015,2554.191
Canada,2016,5016.757
Canada,2017,6805.102
Canada,2018,7521.443
Canada,2019,4028.639
Canada,2020,4348.164
Canada,2010,1054138.669
Canada,2011,1076272.173
Canada,2012,1199562.921
Canada,2013,1260630.5
Canada,2014,1297507.973
Canada,2015,1195695.809
Canada,2016,1289361.734
Canada,2017,1469889.199
Canada,2018,1372822.374
Canada,2019,1597002.833
Canada,2020,1729465.619
Canada,2010,59269.485
Canada,2011,51821.357
Canada,2012,56099.337
Canada,2013,65001.598
Canada,2014,68144.126
Canada,2015,63127.89
Canada,2016,75099.427
Canada,2017,72617.776
Canada,2018,70113.628
Canada,2019,82247.492
Canada,2020,102769.135
Canada,2010,57591.906
Canada,2011,55798.476
Canada,2012,66452.417
Canada,2013,71109.609
Canada,2014,76571.847
Canada,2015,75184.971
Canada,2016,81865.644
Canada,2017,102357.114
Canada,2018,108593.212
Canada,2019,148306.149
Canada,2020,163500.311
Canada,2010,215657.405
Canada,2011,251356.177
Canada,2012,233149.02
Canada,2013,227691.971
Canada,2014,273257.478
Canada,2015,227289.017
Canada,2016,235104.714
Canada,2010,268564.639
Canada,2011,305043.904
Canada,2012,330707.83
Canada,2013,316238.849
Canada,2014,339712.094
Canada,2015,289680.636
Canada,2016,299640.277
Canada,2017,320383.42
Canada,2018,301647.973
Canada,2019,352366.184
Canada,2020,352941.039
Canada,2010,27744.812
Canada,2011,28096.971
Canada,2012,32684.41
Canada,2013,37082.334
Canada,2014,38800.103
Canada,2015,38592.486
Canada,2016,47424.592
Canada,2017,53422.081
Canada,2018,47442.27
Canada,2019,47539.628
Canada,2020,61100.653
Canada,2010,7543.424
Canada,2011,8131.888
Canada,2012,9029.732
Canada,2013,7660.765
Canada,2014,10915.438
Canada,2015,10147.399
Canada,2016,9621.658
Canada,2017,9565.564
Canada,2018,7367.495
Canada,2019,15548.664
Canada,2020,17013.068
Canada,2010,105801.287
Canada,2011,112687.345
Canada,2012,114859.363
Canada,2013,120535.841
Canada,2014,122639.428
Canada,2015,126516.618
Canada,2016,134047.814
Canada,2017,146099.641
Canada,2018,133735.063
Canada,2019,154157.286
Canada,2020,170035.781
Canada,2010,73196.722
Canada,2011,70175.054
Canada,2012,79506.463
Canada,2013,80207.146
Canada,2014,84973.709
Canada,2015,71731.936
Canada,2016,80016.385
Canada,2017,91312.874
Canada,2018,74479.877
Canada,2019,88191.286
Canada,2020,93355.632
Canada,2010,167682.093
Canada,2011,152612.95
Canada,2012,181810.966
Canada,2013,208348.345
Canada,2014,216860.615
Canada,2015,221202.312
Canada,2016,230123.631
Canada,2017,272153.846
Canada,2018,263856.755
Canada,2019,310784.899
Canada,2020,347345.986
Czech Republic,2010,8660.26
Czech Republic,2011,6166.421
Czech Republic,2012,3367.5
Czech Republic,2013,3764.512
Czech Republic,2014,4961.781
Czech Republic,2015,6525.514
Czech Republic,2016,8813.947
Czech Republic,2017,9553.454
Czech Republic,2018,10856.14
Czech Republic,2019,12843.052
Czech Republic,2020,12473.455
Czech Republic,2010,37181.91
Czech Republic,2011,34242.695
Czech Republic,2012,27134.427
Czech Republic,2013,36499.506
Czech Republic,2014,41406.284
Czech Republic,2015,48121.17
Czech Republic,2016,54634.881
Czech Republic,2017,46641.235
Czech Republic,2018,40791.251
Czech Republic,2019,43362.742
Czech Republic,2020,48436.036
Czech Republic,2010,0
Czech Republic,2011,0
Czech Republic,2012,0
Czech Republic,2013,0
Czech Republic,2010,232422.2
Czech Republic,2011,247508.509
Czech Republic,2012,273198.475
Czech Republic,2013,297428.389
Czech Republic,2014,339175.151
Czech Republic,2015,373066.395
Czech Republic,2016,402119.109
Czech Republic,2017,445405.387
Czech Republic,2018,470326.857
Czech Republic,2019,507730.374
Czech Republic,2020,542093.473
Czech Republic,2010,7810.21
Czech Republic,2011,4804.795
Czech Republic,2012,4803.466
Czech Republic,2013,2188.944
Czech Republic,2014,1791.189
Czech Republic,2015,1270.811
Czech Republic,2016,654.337
Czech Republic,2017,1615.537
Czech Republic,2018,1071.075
Czech Republic,2019,1900.64
Czech Republic,2020,2920.805
Czech Republic,2010,2008.26
Czech Republic,2011,1856.782
Czech Republic,2012,1840.307
Czech Republic,2013,1655.693
Czech Republic,2014,1835.99
Czech Republic,2015,1833.413
Czech Republic,2016,1884.342
Czech Republic,2017,1870.461
Czech Republic,2018,1783.397
Czech Republic,2019,1834.684
Czech Republic,2020,1872.604
Czech Republic,2010,159128.77
Czech Republic,2011,174919.167
Czech Republic,2012,203425.874
Czech Republic,2013,217641.239
Czech Republic,2014,256396.651
Czech Republic,2015,276669.814
Czech Republic,2016,299302.374
Czech Republic,2017,295843.947
Czech Republic,2018,314730.88
Czech Republic,2019,324458.941
Czech Republic,2020,389582.71
Czech Republic,2010,196310.68
Czech Republic,2011,209161.862
Czech Republic,2012,230560.301
Czech Republic,2013,254140.745
Czech Republic,2014,297802.935
Czech Republic,2015,324790.984
Czech Republic,2016,353937.255
Czech Republic,2017,342485.182
Czech Republic,2018,355522.131
Czech Republic,2019,367821.683
Czech Republic,2020,438018.747
Czech Republic,2010,15728.2
Czech Republic,2011,19441.852
Czech Republic,2012,26705.211
Czech Republic,2013,31077.218
Czech Republic,2014,28098.297
Czech Republic,2015,33556.912
Czech Republic,2016,32523.131
Czech Republic,2017,85142.031
Czech Republic,2018,96356.472
Czech Republic,2019,116361.074
Czech Republic,2020,76394.36
Czech Republic,2010,0
Czech Republic,2011,0
Czech Republic,2012,0
Czech Republic,2013,0
Czech Republic,2010,461.856
Czech Republic,2011,309.249
Czech Republic,2012,176.725
Czech Republic,2013,189.229
Czech Republic,2014,217.298
Czech Republic,2015,262.871
Czech Republic,2016,343.771
Czech Republic,2017,448.709
Czech Republic,2018,483.225
Czech Republic,2019,567.749
Czech Republic,2020,583.226
Czech Republic,2010,1982.929
Czech Republic,2011,1717.287
Czech Republic,2012,1424.006
Czech Republic,2013,1834.699
Czech Republic,2014,1813.361
Czech Republic,2015,1938.494
Czech Republic,2016,2130.929
Czech Republic,2017,2190.655
Czech Republic,2018,1815.688
Czech Republic,2019,1916.924
Czech Republic,2020,2264.742
Czech Republic,2010,0
Czech Republic,2011,0
Czech Republic,2012,0
Czech Republic,2013,0
Czech Republic,2010,12395.19
Czech Republic,2011,12412.663
Czech Republic,2012,14337.364
Czech Republic,2013,14950.658
Czech Republic,2014,14853.952
Czech Republic,2015,15028.456
Czech Republic,2016,15683.884
Czech Republic,2017,20919.89
Czech Republic,2018,20935.051
Czech Republic,2019,22445.09
Czech Republic,2020,25346.868
Czech Republic,2010,416.522
Czech Republic,2011,240.963
Czech Republic,2012,252.084
Czech Republic,2013,110.03
Czech Republic,2014,78.444
Czech Republic,2015,51.193
Czech Republic,2016,25.521
Czech Republic,2017,75.879
Czech Republic,2018,47.675
Czech Republic,2019,84.021
Czech Republic,2020,136.569
Czech Republic,2010,107.101
Czech Republic,2011,93.118
Czech Republic,2012,96.579
Czech Republic,2013,83.226
Czech Republic,2014,80.406
Czech Republic,2015,73.856
Czech Republic,2016,73.495
Czech Republic,2017,87.852
Czech Republic,2018,79.382
Czech Republic,2019,81.105
Czech Republic,2020,87.558
Czech Republic,2010,8486.415
Czech Republic,2011,8772.275
Czech Republic,2012,10675.722
Czech Republic,2013,10940.044
Czech Republic,2014,11228.723
Czech Republic,2015,11145.255
Czech Republic,2016,11673.715
Czech Republic,2017,13895.258
Czech Republic,2018,14009.209
Czech Republic,2019,14343.262
Czech Republic,2020,18215.865
Czech Republic,2010,10469.345
Czech Republic,2011,10489.562
Czech Republic,2012,12099.727
Czech Republic,2013,12774.743
Czech Republic,2014,13042.084
Czech Republic,2015,13083.749
Czech Republic,2016,13804.644
Czech Republic,2017,16085.913
Czech Republic,2018,15824.897
Czech Republic,2019,16260.187
Czech Republic,2020,20480.607
Czech Republic,2010,838.793
Czech Republic,2011,975.018
Czech Republic,2012,1401.481
Czech Republic,2013,1562.14
Czech Republic,2014,1230.546
Czech Republic,2015,1351.793
Czech Republic,2016,1268.502
Czech Republic,2017,3998.968
Czech Republic,2018,4288.991
Czech Republic,2019,5143.94
Czech Republic,2020,3572
Czech Republic,2010,0
Czech Republic,2011,0
